cityName,city_currentConfirmedCount,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,city_locationId,city_cityEnglishName,locationId,continentName,continentEnglishName,countryName,countryEnglishName,provinceName,provinceShortName,provinceEnglishName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,updateTime
包头,3,11,0,8,0,150200,Baotou,150000,亚洲,Asia,中国,China,内蒙古自治区,内蒙古,Neimenggu,15,75,0,59,1,,1583227388023
呼和浩特,3,7,0,4,0,150100,Hohhot,150000,亚洲,Asia,中国,China,内蒙古自治区,内蒙古,Neimenggu,15,75,0,59,1,,1583227388023
通辽,3,7,0,4,0,150500,Tongliao,150000,亚洲,Asia,中国,China,内蒙古自治区,内蒙古,Neimenggu,15,75,0,59,1,,1583227388023
呼伦贝尔,2,7,0,5,0,150700,Hulunbuir,150000,亚洲,Asia,中国,China,内蒙古自治区,内蒙古,Neimenggu,15,75,0,59,1,,1583227388023
鄂尔多斯,1,11,0,10,0,150600,Ordos,150000,亚洲,Asia,中国,China,内蒙古自治区,内蒙古,Neimenggu,15,75,0,59,1,,1583227388023
赤峰,1,9,0,8,0,150400,Chifeng,150000,亚洲,Asia,中国,China,内蒙古自治区,内蒙古,Neimenggu,15,75,0,59,1,,1583227388023
锡林郭勒盟,1,9,0,8,0,152500,Linguolexi,150000,亚洲,Asia,中国,China,内蒙古自治区,内蒙古,Neimenggu,15,75,0,59,1,,1583227388023
乌兰察布,1,3,0,2,0,150900,Ulanqab,150000,亚洲,Asia,中国,China,内蒙古自治区,内蒙古,Neimenggu,15,75,0,59,1,,1583227388023
巴彦淖尔,0,8,0,7,1,150800,Bayannur,150000,亚洲,Asia,中国,China,内蒙古自治区,内蒙古,Neimenggu,15,75,0,59,1,,1583227388023
乌海市,0,2,0,2,0,150300,Wuhai,150000,亚洲,Asia,中国,China,内蒙古自治区,内蒙古,Neimenggu,15,75,0,59,1,,1583227388023
兴安盟,0,1,0,1,0,152200,Xinganmeng,150000,亚洲,Asia,中国,China,内蒙古自治区,内蒙古,Neimenggu,15,75,0,59,1,,1583227388023
合肥,16,174,0,157,1,340100,Hefei,340000,亚洲,Asia,中国,China,安徽省,安徽,Anhui,43,990,0,941,6,,1583227152740
阜阳,10,155,0,145,0,341200,Fuyang,340000,亚洲,Asia,中国,China,安徽省,安徽,Anhui,43,990,0,941,6,,1583227152740
蚌埠,7,160,0,148,5,340300,Bengbu,340000,亚洲,Asia,中国,China,安徽省,安徽,Anhui,43,990,0,941,6,,1583227152740
宿州,4,41,0,37,0,341300,Suzhou,340000,亚洲,Asia,中国,China,安徽省,安徽,Anhui,43,990,0,941,6,,1583227152740
淮南,4,27,0,23,0,340400,Huainan,340000,亚洲,Asia,中国,China,安徽省,安徽,Anhui,43,990,0,941,6,,1583227152740
马鞍山,3,38,0,35,0,340500,Ma'anshan,340000,亚洲,Asia,中国,China,安徽省,安徽,Anhui,43,990,0,941,6,,1583227152740
淮北,3,27,0,24,0,340600,Huaibei,340000,亚洲,Asia,中国,China,安徽省,安徽,Anhui,43,990,0,941,6,,1583227152740
滁州,2,13,0,11,0,341100,Chuzhou,340000,亚洲,Asia,中国,China,安徽省,安徽,Anhui,43,990,0,941,6,,1583227152740
宣城,2,6,0,4,0,341800,Xuancheng,340000,亚洲,Asia,中国,China,安徽省,安徽,Anhui,43,990,0,941,6,,1583227152740
亳州,1,108,0,107,0,341600,Bozhou,340000,亚洲,Asia,中国,China,安徽省,安徽,Anhui,43,990,0,941,6,,1583227152740
安庆,1,83,0,82,0,340800,Anqing,340000,亚洲,Asia,中国,China,安徽省,安徽,Anhui,43,990,0,941,6,,1583227152740
芜湖,1,34,0,33,0,340200,Wuhu,340000,亚洲,Asia,中国,China,安徽省,安徽,Anhui,43,990,0,941,6,,1583227152740
池州,1,17,0,16,0,341700,Chizhou,340000,亚洲,Asia,中国,China,安徽省,安徽,Anhui,43,990,0,941,6,,1583227152740
